Neuron,Class
ADAL,ADA
ADAR,ADA
ADEL,ADE
ADER,ADE
ADFL,ADF
ADFR,ADF
ADLL,ADL
ADLR,ADL
AFDL,AFD
AFDR,AFD
AIAL,AIA
AIAR,AIA
AIBL,AIB
AIBR,AIB
AIML,AIM
AIMR,AIM
AINL,AIN
AINR,AIN
AIYL,AIY
AIYR,AIY
AIZL,AIZ
AIZR,AIZ
ALA,ALA
ALML,ALM
ALMR,ALM
ALNL,ALN
ALNR,ALN
AQR,AQR
AS01,AS
AS02,AS
AS03,AS
AS04,AS
AS05,AS
AS06,AS
AS07,AS
AS08,AS
AS09,AS
AS10,AS
AS11,AS
ASEL,ASE
ASER,ASE
ASGL,ASG
ASGR,ASG
ASHL,ASH
ASHR,ASH
ASIL,ASI
ASIR,ASI
ASJL,ASJ
ASJR,ASJ
ASKL,ASK
ASKR,ASK
AUAL,AUA
AUAR,AUA
AVAL,AVA
AVAR,AVA
AVBL,AVB
AVBR,AVB
AVDL,AVD
AVDR,AVD
AVEL,AVE
AVER,AVE
AVFL,AVF
AVFR,AVF
AVG,AVG
AVHL,AVH
AVHR,AVH
AVJL,AVJ
AVJR,AVJ
AVKL,AVK
AVKR,AVK
AVL,AVL
AVM,AVM
AWAL,AWA
AWAR,AWA
AWBL,AWB
AWBR,AWB
AWCL,AWC
AWCR,AWC
BAGL,BAG
BAGR,BAG
BDUL,BDU
BDUR,BDU
CEPDL,CEP
CEPDR,CEP
CEPVL,CEP
CEPVR,CEP
DA01,DA
DA02,DA
DA03,DA
DA04,DA
DA05,DA
DA06,DA
DA07,DA
DA08,DA
DA09,DA
DB01,DB
DB02,DB
DB03,DB
DB04,DB
DB05,DB
DB06,DB
DB07,DB
DD01,DD
DD02,DD
DD03,DD
DD04,DD
DD05,DD
DD06,DD
DVA,DVA
DVB,DVB
DVC,DVC
FLPL,FLP
FLPR,FLP
HSNL,HSN
HSNR,HSN
I1L,I1
I1R,I1
I2L,I2
I2R,I2
I3,I3
I4,I4
I5,I5
I6,I6
IL1DL,IL1
IL1DR,IL1
IL1L,IL1
IL1R,IL1
IL1VL,IL1
IL1VR,IL1
IL2DL,IL2
IL2DR,IL2
IL2L,IL2
IL2R,IL2
IL2VL,IL2
IL2VR,IL2
LUAL,LUA
LUAR,LUA
M1,M1
M2L,M2
M2R,M2
M3L,M3
M3R,M3
M4,M4
M5,M5
MCL,MC
MCR,MC
MI,MI
NSML,NSM
NSMR,NSM
OLLL,OLL
OLLR,OLL
OLQDL,OLQ
OLQDR,OLQ
OLQVL,OLQ
OLQVR,OLQ
PDA,PDA
PDB,PDB
PDEL,PDE
PDER,PDE
PHAL,PHA
PHAR,PHA
PHBL,PHB
PHBR,PHB
PHCL,PHC
PHCR,PHC
PLML,PLM
PLMR,PLM
PLNL,PLN
PLNR,PLN
PQR,PQR
PVCL,PVC
PVCR,PVC
PVDL,PVD
PVDR,PVD
PVM,PVM
PVNL,PVN
PVNR,PVN
PVPL,PVP
PVPR,PVP
PVQL,PVQ
PVQR,PVQ
PVR,PVR
PVT,PVT
PVWL,PVW
PVWR,PVW
RIAL,RIA
RIAR,RIA
RIBL,RIB
RIBR,RIB
RICL,RIC
RICR,RIC
RID,RID
RIFL,RIF
RIFR,RIF
RIGL,RIG
RIGR,RIG
RIH,RIH
RIML,RIM
RIMR,RIM
RIPL,RIP
RIPR,RIP
RIR,RIR
RIS,RIS
RIVL,RIV
RIVR,RIV
RMDDL,RMD
RMDDR,RMD
RMDL,RMD
RMDR,RMD
RMDVL,RMD
RMDVR,RMD
RMED,RME
RMEL,RME
RMER,RME
RMEV,RME
RMFL,RMF
RMFR,RMF
RMGL,RMG
RMGR,RMG
RMHL,RMH
RMHR,RMH
SAADL,SAA
SAADR,SAA
SAAVL,SAA
SAAVR,SAA
SABD,SAB
SABVL,SAB
SABVR,SAB
SDQL,SDQ
SDQR,SDQ
SIADL,SIA
SIADR,SIA
SIAVL,SIA
SIAVR,SIA
SIBDL,SIB
SIBDR,SIB
SIBVL,SIB
SIBVR,SIB
SMBDL,SMB
SMBDR,SMB
SMBVL,SMB
SMBVR,SMB
SMDDL,SMD
SMDDR,SMD
SMDVL,SMD
SMDVR,SMD
URADL,URA
URADR,URA
URAVL,URA
URAVR,URA
URBL,URB
URBR,URB
URXL,URX
URXR,URX
URYDL,URY
URYDR,URY
URYVL,URY
URYVR,URY
VA01,VA
VA02,VA
VA03,VA
VA04,VA
VA05,VA
VA06,VA
VA07,VA
VA08,VA
VA09,VA
VA10,VA
VA11,VA
VA12,VA
VB01,VB
VB02,VB
VB03,VB
VB04,VB
VB05,VB
VB06,VB
VB07,VB
VB08,VB
VB09,VB
VB10,VB
VB11,VB
VC01,VC
VC02,VC
VC03,VC
VC04,VC
VC05,VC
VC06,VC
VD01,VD
VD02,VD
VD03,VD
VD04,VD
VD05,VD
VD06,VD
VD07,VD
VD08,VD
VD09,VD
VD10,VD
VD11,VD
VD12,VD
VD13,VD
